soNumber	soItem	OrderQuantity	SalesUnit	Material	MatDesc
500009101	100	3	EA	MAT001	Steel Rod 10mm
500009101	200	4	EA	MAT002	Aluminum Sheet 5mm
500009101	300	2	EA	MAT003	Copper Wire 2m
500009102	100	2	EA	MAT004	Plastic Pipe 3-inch
500009102	200	3	EA	MAT005	Ceramic Tile 12x12
500009103	100	4	EA	MAT006	Wooden Plank 2x4
500009103	200	5	EA	MAT007	Glass Panel 1x2m
500009104	100	6	EA	MAT008	Rubber Gasket 50mm
500009104	200	3	EA	MAT009	Brass Nut 10mm
500009105	100	4	EA	MAT010	Concrete Block 20kg
500009105	200	3	EA	MAT011	Stainless Steel Bolt M8
500009105	300	5	EA	MAT012	PVC Pipe 6-inch
500009106	100	4	EA	MAT013	Carbon Fiber Sheet
500009106	200	2	EA	MAT014	Insulated Copper Cable 5m
500009107	100	1	EA	MAT015	High-Density Foam Board
500009107	200	5	EA	MAT016	Cast Iron Flange 4-inch
500009108	100	3	EA	MAT017	Acrylic Sheet 3mm
500009108	200	3	EA	MAT018	Nylon Rope 50m
500009108	300	5	EA	MAT019	Galvanized Steel Plate 2mm
